id,name,sort_name,type,gender,country,life_span_begin,life_span_end,disambiguation,score
8970d868-0723-483b-a75b-51088913d3d4,Moby,Moby,Person,male,US,1965-09-11,,electronic musician Richard Melville Hall,74
5dfdca28-9ddc-4853-933c-8bc97d87beec,Marilyn Manson,Marilyn Manson,Group,,US,1989,,the band,74
c1d4f2ba-cf39-460c-9528-6b827d3417a1,Yes,Yes,Group,,GB,1968,,British progressive rock band,74
ea809832-657d-4335-b492-1daa3d46a322,桜庭統,"Sakuraba, Motoi",Person,male,JP,1965-08-05,,Japanese composer & keyboardist,74
cd58625e-8ef0-4709-9e4d-b1c2d4574f63,sevenism,sevenism,Person,male,,,,,74
e787de5d-49e2-4b1f-9bde-1fd3a671b971,Fats Domino,"Domino, Fats",Person,male,US,1928-02-26,2017-10-24,,74
678782f3-00e5-4440-bb30-18b809487722,Uve Teschner,"Teschner, Uve",Person,male,DE,1973,,,74
1884ed9c-6fe1-468d-a7f8-8d19c9c4e441,Status Quo,Status Quo,Group,,GB,1967,,UK boogie rock band,74
0dbd6300-efdc-420b-857e-895e18fad317,Count Basie,"Basie, Count",Person,male,US,1904-08-21,1984-04-26,pianist,74
091ec508-877f-4e3c-92a3-10903bbbc7ad,The Everly Brothers,"Everly Brothers, The",Group,,US,1957,2014-01-03,,74
57c6f649-6cde-48a7-8114-2a200247601a,Tom Jones,"Jones, Tom",Person,male,,1940-06-07,,Welsh pop singer,74
299597ae-3a20-4bf1-973e-03704af69f6b,Royal Philharmonic Orchestra,Royal Philharmonic Orchestra,Orchestra,,GB,1946,,,73
c842d29f-a297-48cd-bb71-4f77fd672b16,T. Rex,T. Rex,Group,,GB,1967,1977-09-16,UK band,73
07e748f1-075e-428d-85dc-ce3be434e906,Dave Matthews Band,"Matthews, Dave, Band",Group,,US,1991,,,73
5a2463af-eef0-4a22-bc8f-5865fbe9c78e,Peggy Lee,"Lee, Peggy",Person,female,US,1920-05-26,2002-01-21,jazz vocalist,73
67f66c07-6e61-4026-ade5-7e782fad3a5d,Foo Fighters,Foo Fighters,Group,,US,1994,,,73
c0b2500e-0cef-4130-869d-732b23ed9df5,Tori Amos,"Amos, Tori",Person,female,US,1963-08-22,,,73
c1380b12-3909-47d8-a5fd-d20e76123310,Модест Петрович Мусоргский,"Mussorgsky, Modest Petrovich",Person,male,RU,1839-03-21,1881-03-28,composer,73
4580d83b-093e-4241-91fb-2dd71f5f1f3f,Carpenters,Carpenters,Group,,US,1968,1983,,73
5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Black Sabbath,Black Sabbath,Group,,GB,1968-09,2025-07-05,English heavy metal band,73
3886ea66-c0ae-4acc-8cd0-d70b5676efcf,Frank Arnold,"Arnold, Frank",Person,male,DE,1957,,"German director, actor, and voice actor",73
c3cceeed-3332-4cf0-8c4c-bbde425147b6,Scorpions,Scorpions,Group,,DE,1965,,German rock band,73
eeb1195b-f213-4ce1-b28c-8565211f8e43,Guns N’ Roses,Guns N’ Roses,Group,,US,1985-03,,American hard rock band from Los Angeles,73
5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi,Bon Jovi,Group,,US,1983,,group,73
5d1e1b77-3865-4510-8157-f306bbc1293b,Bull of Heaven,Bull of Heaven,Group,,US,2008,,,73
bf0f7e29-dfe1-416c-b5c6-f9ebc19ea810,Bee Gees,Bee Gees,Group,,GB,1958,2003,,73
c50e52e1-01f4-494d-b1ef-376fe3581d90,川井憲次,"Kawai, Kenji",Person,male,JP,1957-04-23,,,73
